Precinct,DallasCo_A,CONG_C2193,HOUSE_H231,SEN_S2168,SBOE_E2106,DallasCo_1,Shape_Leng,Shape_Area,Registered,Beckley Votes,Collier Votes,Total Votes,Collier Margin
2302,2,33,103,12,14,5,27032.49353,25436275.36,2021,34,37,94,3
2305,2,32,115,12,12,5,32457.48616,47096204.12,2259,50,33,126,-17
2501,2,32,112,2,12,3,16811.31131,13751470.29,1389,37,71,123,34
2508,2,32,112,2,12,3,55216.38744,109591047.3,3677,93,74,242,-19
2308,2,33,103,12,14,5,43694.84692,46554556.54,1859,40,34,107,-6
2309,2,33,103,12,13,5,23125.44809,26095156.38,2085,41,22,101,-19
2505,2,32,112,2,12,3,22921.17036,16373196.13,2237,63,82,174,19
2311,2,33,103,12,14,5,9999.819504,4872946.706,589,7,5,19,-2
2502,2,32,112,2,12,3,20806.7137,18749399.06,1872,40,83,139,43
2312,2,33,103,12,14,5,10126.87265,4117026.915,72,0,0,1,0
2510,2,32,112,2,12,3,19367.24387,15402298.01,1855,52,84,177,32
2509,2,32,112,2,12,3,23910.09755,33806643.53,2935,81,154,270,73
2523,2,32,112,16,12,3,18133.79034,17963058.93,1103,28,33,87,5
2402,2,32,115,12,14,4,37275.31637,57639479.29,3272,107,74,225,-33
2403,2,32,115,12,12,4,14030.17473,10005653.22,0,0,0,0,0
2404,2,32,115,12,14,4,18189.20598,19246957.36,2147,55,39,125,-16
2406,2,32,115,12,12,4,29386.05899,44834509.53,3379,118,84,263,-34
2408,2,33,103,12,14,4,23038.36562,24011463.22,1881,49,28,109,-21
2409,2,33,103,12,14,4,23039.45226,21780634.22,2303,48,30,112,-18
2410,2,32,115,12,12,4,13929.47602,8419952.442,1728,53,32,109,-21
2411,2,33,103,12,14,4,15479.17132,11125538.55,793,6,11,23,5
2417,2,32,115,12,14,4,10642.24474,4101410.871,218,7,5,14,-2
2913,2,32,115,12,12,3,29268.65863,26970489.51,0,0,0,0,0
2903,2,32,115,12,12,3,15557.40721,13069102.88,3000,68,61,177,-7
2601,2,33,115,12,14,4,16337.46893,11726417.17,2050,57,49,141,-8
2602,2,33,115,12,14,4,23191.54953,23253683.5,3185,67,69,213,2
2603,2,33,115,12,14,4,38826.08881,35954308.98,3251,60,52,176,-8
2604,2,33,115,12,14,4,44742.33329,37651814.82,3036,82,71,231,-11
2605,2,33,115,12,14,4,28233.54666,19784509.51,2766,35,26,89,-9
2902,2,32,115,12,12,3,22532.5497,20183769.11,2041,49,46,127,-3
2901,2,32,115,12,14,3,10127.00401,6015191.66,1941,34,30,91,-4
2610,2,33,103,12,14,4,6940.542155,1816910.405,0,0,0,0,0
2611,2,33,115,12,11,4,33280.40463,28511634.46,1690,29,32,93,3
